#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
71,-2227190.250000,290336.610460,0.000000,303233.029173,303156.862540,-138142.020007,306203.800780
72,-2221926.250000,290459.882543,0.000000,303233.029173,303156.862540,111237.982223,306203.800780
73,-2209535.250000,290749.463792,0.000000,303233.029173,303156.862540,131498.071372,306203.800780
74,-2204804.000000,290859.816177,0.000000,303233.029173,303156.862540,-13224.274445,306203.800780
75,-2202633.000000,290910.412590,0.000000,303233.029173,303156.862540,34405.328339,306203.800780
76,-2192541.500000,291145.268357,0.000000,303233.029173,303156.862540,-11693.737807,306203.800780
77,-2163548.750000,291816.971346,0.000000,303233.029173,303156.862540,91856.280633,306203.800780
78,-2163002.750000,291829.577999,0.000000,303233.029173,303156.862540,-25777.531873,306203.800780
79,-2148970.750000,292153.020157,0.000000,303233.029173,303156.862540,1179.033717,306203.800780
80,-2132688.750000,292527.015644,0.000000,303233.029173,303156.862540,-25953.559902,306203.800780
81,-2130157.000000,292585.043538,0.000000,303233.029173,303156.862540,71812.725876,306203.800780
82,-2126046.000000,292679.195799,0.000000,303233.029173,303156.862540,35390.172156,306203.800780
83,-2105314.500000,293152.641456,0.000000,303233.029173,303156.862540,-89848.389842,306203.800780
84,-2099222.250000,293291.340445,0.000000,303233.029173,303156.862540,-76147.552717,306203.800780
85,-2093966.875000,293410.830279,0.000000,303233.029173,303156.862540,51364.401810,306203.800780
86,-2075010.125000,293840.642589,0.000000,303233.029173,303156.862540,-277768.871564,306203.800780
87,-2066226.625000,294039.157449,0.000000,303233.029173,303156.862540,-77145.640368,306203.800780
88,-2052262.750000,294353.926667,0.000000,303233.029173,303156.862540,2228.134943,306203.800780
89,-2046686.125000,294479.350180,0.000000,303233.029173,303156.862540,-2672.421059,306203.800780
90,-2030378.625000,294845.196854,0.000000,303233.029173,303156.862540,-177846.754986,306203.800780
91,-2026730.125000,294926.860047,0.000000,303233.029173,303156.862540,188138.221162,306203.800780
92,-2023407.375000,295001.172315,0.000000,303233.029173,303156.862540,81532.626201,306203.800780
93,-2018310.125000,295115.060083,nan,303233.029173,303156.862540,-51300.778382,306203.800780
94,-1987526.375000,295800.021872,0.000000,303233.029173,303156.862540,10708.675336,306203.800780
95,-1968696.000000,296216.620576,0.000000,303233.029173,303156.862540,-84871.322991,306203.800780
96,-1965975.375000,296276.661537,0.000000,303233.029173,303156.862540,51125.310841,306203.800780
97,-1962376.875000,296356.018286,0.000000,303233.029173,303156.862540,-69538.675009,306203.800780
98,-1953345.000000,296554.905806,0.000000,303233.029173,303156.862540,-141540.279863,306203.800780
99,-1940453.750000,296838.062113,0.000000,303233.029173,303156.862540,-82972.568048,306203.800780
100,-1917718.250000,297335.399032,0.000000,303233.029173,303156.862540,84231.644804,306203.800780
101,-1916145.250000,297369.711827,0.000000,303233.029173,303156.862540,173482.102497,306203.800780
102,-1912008.000000,297459.900695,0.000000,303233.029173,303156.862540,-105700.616975,306203.800780
103,-1905780.125000,297595.501266,0.000000,303233.029173,303156.862540,211991.017934,306203.800780
104,-1904428.375000,297624.907406,0.000000,303233.029173,303156.862540,-4323.796953,306203.800780
105,-1901575.250000,297686.944530,0.000000,303233.029173,303156.862540,-173846.580835,306203.800780
106,-1901180.875000,297695.516437,0.000000,303233.029173,303156.862540,377385.280743,306203.800780
107,-1899298.875000,297736.411751,0.000000,303233.029173,303156.862540,-17562.886436,306203.800780
108,-1884981.875000,298046.934918,0.000000,303233.029173,303156.862540,88339.075448,306203.800780
109,-1884760.125000,298051.736412,0.000000,303233.029173,303156.862540,98517.474013,306203.800780
110,-1884194.750000,298063.977217,0.000000,303233.029173,303156.862540,-1595.323610,306203.800780
111,-1881341.250000,298125.733309,0.000000,303233.029173,303156.862540,-96000.884722,306203.800780
112,-1878538.000000,298186.362268,0.000000,303233.029173,303156.862540,54505.070218,306203.800780
113,-1869536.875000,298380.774319,0.000000,303233.029173,303156.862540,-271513.989385,306203.800780
114,-1866082.500000,298455.276870,nan,303233.029173,303156.862540,-102860.746305,306203.800780
115,-1861384.875000,298556.497994,0.000000,303233.029173,303156.862540,-91508.665988,306203.800780
116,-1857896.375000,298631.594707,0.000000,303233.029173,303156.862540,153754.330810,306203.800780
117,-1850973.500000,298780.443897,0.000000,303233.029173,303156.862540,-67704.307429,306203.800780
118,-1849754.875000,298806.621001,0.000000,303233.029173,303156.862540,65460.307290,306203.800780
119,-1846027.375000,298886.645148,0.000000,303233.029173,303156.862540,15072.190826,306203.800780
120,-1839039.625000,299036.476673,0.000000,303233.029173,303156.862540,68098.629413,306203.800780
121,-1830711.375000,299214.735532,0.000000,303233.029173,303156.862540,-42017.239538,306203.800780
122,-1822366.875000,299392.998450,0.000000,303233.029173,303156.862540,-243038.149849,306203.800780
123,-1791139.000000,300057.074189,0.000000,303233.029173,303156.862540,87955.365202,306203.800780
124,-1790933.750000,300061.423086,0.000000,303233.029173,303156.862540,-162577.874455,306203.800780
125,-1787494.875000,300134.256292,0.000000,303233.029173,303156.862540,-319579.949444,306203.800780
126,-1784561.250000,300196.342852,0.000000,303233.029173,303156.862540,-90137.879270,306203.800780
127,-1781677.500000,300257.332823,0.000000,303233.029173,303156.862540,-142902.200152,306203.800780
128,-1774162.375000,300416.083195,0.000000,303233.029173,303156.862540,-114667.065668,306203.800780
129,-1770753.375000,300488.004364,0.000000,303233.029173,303156.862540,-308703.159415,306203.800780
