#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-0.025335,383073.659079,0.000000,303261.741727,303156.862540,-29568.452201,306203.800780
1,-0.023679,380026.497369,0.000000,303261.741727,303156.862540,155230.683119,306203.800780
2,-0.022724,378257.468401,327393.429096,303261.741727,303156.862540,-204365.251583,306203.800780
3,-0.021765,376473.529172,0.000000,303261.741727,303156.862540,131959.758260,306203.800780
4,-0.021399,375789.565270,0.000000,303261.741727,303156.862540,64.832530,306203.800780
5,-0.020909,374873.789083,0.000000,303261.741727,303156.862540,-12949.096781,306203.800780
6,-0.019813,372814.683770,0.000000,303261.741727,303156.862540,126708.728872,306203.800780
7,-0.019587,372389.480994,0.000000,303261.741727,303156.862540,170323.093518,306203.800780
8,-0.019515,372253.549747,0.000000,303261.741727,303156.862540,127626.980086,306203.800780
9,-0.018972,371228.417514,327381.611435,303261.741727,303156.862540,-14978.748540,306203.800780
10,-0.018747,370802.427923,0.000000,303261.741727,303156.862540,-42398.742664,306203.800780
11,-0.018741,370789.873287,0.000000,303261.741727,303156.862540,-12475.715307,306203.800780
12,-0.018543,370415.155886,0.000000,303261.741727,303156.862540,403586.309597,306203.800780
13,-0.018298,369950.801697,0.000000,303261.741727,303156.862540,-75022.732565,306203.800780
14,-0.018066,369509.448626,0.000000,303261.741727,303156.862540,-108965.606545,306203.800780
15,-0.017980,369346.302184,327378.484178,303261.741727,303156.862540,-64312.361858,306203.800780
16,-0.017890,369175.939282,0.000000,303261.741727,303156.862540,330768.970552,306203.800780
17,-0.017600,368624.042387,0.000000,303261.741727,303156.862540,100485.855542,306203.800780
18,-0.017506,368445.550729,0.000000,303261.741727,303156.862540,-35546.828008,306203.800780
19,-0.017314,368078.607110,0.000000,303261.741727,303156.862540,99236.063178,306203.800780
20,-0.017240,367937.412025,0.000000,303261.741727,303156.862540,-70104.181104,306203.800780
21,-0.016844,367180.288083,327374.904593,303261.741727,303156.862540,-124434.101656,306203.800780
22,-0.016755,367009.788788,0.000000,303261.741727,303156.862540,-15317.456884,306203.800780
23,-0.016351,366237.693794,0.000000,303261.741727,303156.862540,155607.089536,306203.800780
24,-0.016060,365677.751800,0.000000,303261.741727,303156.862540,-69082.633974,306203.800780
25,-0.015889,365350.650121,0.000000,303261.741727,303156.862540,262514.833317,306203.800780
26,-0.015831,365238.181129,0.000000,303261.741727,303156.862540,113034.719249,306203.800780
27,-0.015557,364712.064752,327370.850871,303261.741727,303156.862540,141460.330102,306203.800780
28,-0.015436,364478.946812,0.000000,303261.741727,303156.862540,-76218.234440,306203.800780
29,-0.015090,363811.104288,0.000000,303261.741727,303156.862540,-276115.170952,306203.800780
30,-0.015045,363723.473105,0.000000,303261.741727,303156.862540,306926.919930,306203.800780
31,-0.014905,363454.552815,0.000000,303261.741727,303156.862540,169339.841079,306203.800780
32,-0.014902,363447.349420,0.000000,303261.741727,303156.862540,-51910.266251,306203.800780
33,-0.014859,363365.330435,0.000000,303261.741727,303156.862540,34696.573121,306203.800780
34,-0.014648,362957.862353,0.000000,303261.741727,303156.862540,-234760.241446,306203.800780
35,-0.014540,362748.207092,0.000000,303261.741727,303156.862540,158648.450162,306203.800780
36,-0.014488,362647.795474,0.000000,303261.741727,303156.862540,162875.541195,306203.800780
37,-0.014421,362518.762939,0.000000,303261.741727,303156.862540,110767.484368,306203.800780
38,-0.014339,362358.724123,0.000000,303261.741727,303156.862540,-153136.015119,306203.800780
39,-0.014130,361953.122481,0.000000,303261.741727,303156.862540,129250.279316,306203.800780
40,-0.013998,361698.364026,0.000000,303261.741727,303156.862540,163989.814386,306203.800780
41,-0.013964,361631.286978,0.000000,303261.741727,303156.862540,60069.589666,306203.800780
42,-0.013724,361164.996242,0.000000,303261.741727,303156.862540,313695.213773,306203.800780
43,-0.013710,361137.178636,0.000000,303261.741727,303156.862540,-58242.396068,306203.800780
44,-0.013565,360855.972993,0.000000,303261.741727,303156.862540,-31164.314970,306203.800780
45,-0.013227,360196.776861,0.000000,303261.741727,303156.862540,-22716.783759,306203.800780
46,-0.013183,360112.313168,0.000000,303261.741727,303156.862540,84459.634105,306203.800780
47,-0.013138,360023.361807,0.000000,303261.741727,303156.862540,137455.458245,306203.800780
48,-0.012799,359361.696419,0.000000,303261.741727,303156.862540,-183103.356554,306203.800780
49,-0.012779,359324.069444,0.000000,303261.741727,303156.862540,240393.707130,306203.800780
50,-0.012625,359022.562329,0.000000,303261.741727,303156.862540,225556.808477,306203.800780
51,-0.012421,358622.975817,0.000000,303261.741727,303156.862540,-70911.288634,306203.800780
52,-0.012277,358340.718750,0.000000,303261.741727,303156.862540,67305.909317,306203.800780
53,-0.012048,357891.186343,0.000000,303261.741727,303156.862540,174498.133187,306203.800780
54,-0.011994,357785.567789,327359.619028,303261.741727,303156.862540,-37291.096356,306203.800780
55,-0.011719,357246.859636,0.000000,303261.741727,303156.862540,-243847.039050,306203.800780
56,-0.011660,357129.496713,0.000000,303261.741727,303156.862540,-144863.711239,306203.800780
57,-0.011547,356908.206646,0.000000,303261.741727,303156.862540,44015.966550,306203.800780
58,-0.011365,356550.217105,0.000000,303261.741727,303156.862540,-133300.055875,306203.800780
59,-0.011362,356544.050705,0.000000,303261.741727,303156.862540,-164191.263943,306203.800780
60,-0.011269,356361.163280,0.000000,303261.741727,303156.862540,206086.835384,306203.800780
61,-0.011203,356229.667760,0.000000,303261.741727,303156.862540,-298179.634021,306203.800780
62,-0.011202,356228.547201,0.000000,303261.741727,303156.862540,-50951.427933,306203.800780
63,-0.011125,356077.168377,0.000000,303261.741727,303156.862540,50202.342450,306203.800780
64,-0.011125,356076.987308,0.000000,303261.741727,303156.862540,71212.918368,306203.800780
65,-0.011086,355998.894732,0.000000,303261.741727,303156.862540,10409.737112,306203.800780
66,-0.011065,355957.713556,0.000000,303261.741727,303156.862540,35225.178525,306203.800780
67,-0.011010,355849.011100,0.000000,303261.741727,303156.862540,44188.075238,306203.800780
68,-0.010868,355568.714741,327356.069104,303261.741727,303156.862540,50994.428215,306203.800780
69,-0.010820,355475.066668,327355.919621,303261.741727,303156.862540,-37727.023328,306203.800780
70,-0.010784,355404.294613,0.000000,303261.741727,303156.862540,-43944.291444,306203.800780
71,-0.010766,355367.988266,0.000000,303261.741727,303156.862540,9019.781582,306203.800780
72,-0.010731,355298.550458,0.000000,303261.741727,303156.862540,82855.301436,306203.800780
73,-0.010667,355172.876769,0.000000,303261.741727,303156.862540,-85527.126970,306203.800780
74,-0.010633,355105.997438,0.000000,303261.741727,303156.862540,62194.119419,306203.800780
75,-0.010563,354967.492551,327355.110098,303261.741727,303156.862540,7674.239042,306203.800780
76,-0.010407,354658.858275,327354.618419,303261.741727,303156.862540,17866.989049,306203.800780
77,-0.010057,353964.457316,0.000000,303261.741727,303156.862540,-72955.145945,306203.800780
78,-0.010051,353952.588760,0.000000,303261.741727,303156.862540,-45165.122365,306203.800780
79,-0.010042,353934.186158,327353.465618,303261.741727,303156.862540,-28170.064096,306203.800780
80,-0.009994,353838.588735,0.000000,303261.741727,303156.862540,229798.463112,306203.800780
81,-0.009933,353718.310684,0.000000,303261.741727,303156.862540,-47032.283484,306203.800780
82,-0.009921,353693.771772,0.000000,303261.741727,303156.862540,-93500.243792,306203.800780
83,-0.009883,353619.851812,0.000000,303261.741727,303156.862540,-24337.606404,306203.800780
84,-0.009659,353173.041131,0.000000,303261.741727,303156.862540,43786.654881,306203.800780
85,-0.009578,353011.979649,0.000000,303261.741727,303156.862540,-22375.282623,306203.800780
