#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-0.024939,280540.408266,0.000000,85842.923979,102512.834978,-164631.935642,141479.644761
1,-0.023384,270148.144419,0.000000,85842.923979,102512.834978,-107810.551133,141479.644761
2,-0.022179,262090.431107,0.000000,85842.923979,102512.834978,58038.706935,141479.644761
3,-0.021370,256674.532744,0.000000,85842.923979,102512.834978,32216.671953,141479.644761
4,-0.020579,251377.828010,0.000000,85842.923979,102512.834978,20430.714331,141479.644761
5,-0.019820,246292.858518,0.000000,85842.923979,102512.834978,117063.095755,141479.644761
6,-0.019642,245097.672831,0.000000,85842.923979,102512.834978,102505.993908,141479.644761
7,-0.019493,244099.558504,0.000000,85842.923979,102512.834978,-53207.382981,141479.644761
8,-0.019324,242964.809926,0.000000,85842.923979,102512.834978,49313.856293,141479.644761
9,-0.019101,241469.795900,110852.157983,85842.923979,102512.834978,60655.689077,141479.644761
10,-0.018657,238489.786534,110848.179239,85842.923979,102512.834978,1962.587889,141479.644761
11,-0.018444,237064.442321,0.000000,85842.923979,102512.834978,-264069.141982,141479.644761
12,-0.018236,235664.067098,0.000000,85842.923979,102512.834978,-32161.578728,141479.644761
13,-0.017790,232674.203034,0.000000,85842.923979,102512.834978,-42110.286584,141479.644761
14,-0.017786,232645.732387,0.000000,85842.923979,102512.834978,-8170.055562,141479.644761
15,-0.017722,232212.935982,0.000000,85842.923979,102512.834978,-13752.589133,141479.644761
16,-0.017460,230455.071401,110837.460369,85842.923979,102512.834978,54318.060475,141479.644761
17,-0.017292,229325.841540,0.000000,85842.923979,102512.834978,-35624.951278,141479.644761
18,-0.016914,226784.482371,0.000000,85842.923979,102512.834978,-114267.452428,141479.644761
19,-0.016810,226085.440304,0.000000,85842.923979,102512.834978,31641.839484,141479.644761
20,-0.016692,225290.951699,0.000000,85842.923979,102512.834978,-57137.258061,141479.644761
21,-0.016630,224876.507240,0.000000,85842.923979,102512.834978,-53553.136412,141479.644761
22,-0.016618,224793.873406,0.000000,85842.923979,102512.834978,-139831.629903,141479.644761
23,-0.016297,222636.393522,0.000000,85842.923979,102512.834978,155868.357055,141479.644761
24,-0.015886,219870.873874,0.000000,85842.923979,102512.834978,34289.640442,141479.644761
25,-0.015837,219543.764856,0.000000,85842.923979,102512.834978,150427.554883,141479.644761
26,-0.015325,216089.968760,110818.331255,85842.923979,102512.834978,-150521.021153,141479.644761
27,-0.015191,215188.454557,0.000000,85842.923979,102512.834978,-127799.135792,141479.644761
28,-0.015138,214834.746558,0.000000,85842.923979,102512.834978,-58635.296348,141479.644761
29,-0.015075,214410.771258,0.000000,85842.923979,102512.834978,30820.066207,141479.644761
30,-0.014779,212414.947382,0.000000,85842.923979,102512.834978,-97867.547517,141479.644761
31,-0.014672,211695.890216,0.000000,85842.923979,102512.834978,39123.062093,141479.644761
32,-0.014662,211625.812529,0.000000,85842.923979,102512.834978,-17317.775431,141479.644761
33,-0.014275,209015.644805,0.000000,85842.923979,102512.834978,-56141.048999,141479.644761
34,-0.014153,208194.753529,0.000000,85842.923979,102512.834978,20127.775214,141479.644761
35,-0.014145,208141.768863,0.000000,85842.923979,102512.834978,2928.030591,141479.644761
36,-0.013916,206594.596453,0.000000,85842.923979,102512.834978,12538.967205,141479.644761
37,-0.013814,205905.287293,0.000000,85842.923979,102512.834978,-100885.755759,141479.644761
38,-0.013805,205846.273316,0.000000,85842.923979,102512.834978,50204.283117,141479.644761
39,-0.013792,205760.008278,110804.607384,85842.923979,102512.834978,-122934.494289,141479.644761
40,-0.013723,205291.427617,0.000000,85842.923979,102512.834978,58275.007479,141479.644761
41,-0.013609,204520.856878,0.000000,85842.923979,102512.834978,65331.827697,141479.644761
42,-0.013456,203490.948336,0.000000,85842.923979,102512.834978,56930.134451,141479.644761
43,-0.013361,202848.194626,0.000000,85842.923979,102512.834978,-18843.994923,141479.644761
44,-0.013335,202672.916471,0.000000,85842.923979,102512.834978,85934.743816,141479.644761
45,-0.013246,202070.889141,0.000000,85842.923979,102512.834978,-24034.475831,141479.644761
