#Sample,Regressor_0_USD,Regressor_1_EUR-EURIBOR-3M,Regressor_2_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.436162,0.000039,0.009921,0.000000,1547874.202283,1773632.048884,1852540.738136,-248188.799694,2093807.545081
1,0.447045,0.004924,0.006315,0.000000,0.000000,1773632.048884,1852540.738136,489195.783259,2093807.545081
2,0.452195,-0.001527,0.004199,0.000000,0.000000,1773632.048884,1852540.738136,-293964.001598,2093807.545081
3,0.458077,0.002897,0.036541,0.000000,0.000000,1773632.048884,1852540.738136,-52886.012269,2093807.545081
4,0.459925,-0.006534,0.013658,0.000000,1561562.147216,1773632.048884,1852540.738136,-39409.193410,2093807.545081
5,0.461765,0.015997,0.037420,0.000000,0.000000,1773632.048884,1852540.738136,40484.938194,2093807.545081
6,0.474739,-0.018741,0.011122,286418.655721,0.000000,1773632.048884,1852540.738136,-49997.643592,2093807.545081
7,0.478441,-0.000634,0.022809,0.000000,0.000000,1773632.048884,1852540.738136,-1136626.150612,2093807.545081
8,0.482311,-0.000821,0.046400,410947.642762,0.000000,1773632.048884,1852540.738136,69820.970371,2093807.545081
9,0.482697,0.007819,0.021015,0.000000,0.000000,1773632.048884,1852540.738136,337739.258977,2093807.545081
10,0.494379,-0.013964,0.012529,460023.748522,0.000000,1773632.048884,1852540.738136,421051.520024,2093807.545081
11,0.494765,0.005507,0.009280,0.000000,0.000000,1773632.048884,1852540.738136,413569.778346,2093807.545081
12,0.499794,0.012242,0.046768,388123.246876,0.000000,1773632.048884,1852540.738136,260520.904283,2093807.545081
13,0.508237,0.001836,0.017041,389126.333442,0.000000,1773632.048884,1852540.738136,333924.871352,2093807.545081
14,0.517624,-0.014902,0.011680,663627.763799,0.000000,1773632.048884,1852540.738136,-868756.743919,2093807.545081
15,0.518390,0.000421,-0.005350,309517.925655,0.000000,1773632.048884,1852540.738136,4428.884666,2093807.545081
16,0.519050,-0.002651,0.037431,690354.638080,0.000000,1773632.048884,1852540.738136,46128.346720,2093807.545081
17,0.521642,0.014799,0.028900,429423.796905,0.000000,1773632.048884,1852540.738136,-225579.432817,2093807.545081
18,0.522520,0.001790,0.011120,492626.969125,0.000000,1773632.048884,1852540.738136,416721.603706,2093807.545081
19,0.524274,-0.006821,0.018992,666394.628555,0.000000,1773632.048884,1852540.738136,-257227.957223,2093807.545081
20,0.533540,0.013854,0.022540,512305.233872,0.000000,1773632.048884,1852540.738136,-623951.139790,2093807.545081
21,0.534371,0.007342,0.075301,878307.682992,0.000000,1773632.048884,1852540.738136,-164569.027519,2093807.545081
22,0.534456,0.008064,0.019157,573041.737625,0.000000,1773632.048884,1852540.738136,-411538.285301,2093807.545081
