#Sample,Regressor_0_USD,Regressor_1_EUR-EURIBOR-3M,Regressor_2_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
168,0.700239,-0.011125,0.045594,1541344.656918,0.000000,1783984.252988,1852540.738136,1442800.839954,2093807.545081
169,0.701250,0.006843,0.026744,1417883.643656,0.000000,1783984.252988,1852540.738136,296713.573607,2093807.545081
170,0.703857,0.011538,0.004916,1385977.572928,0.000000,1783984.252988,1852540.738136,-740898.319051,2093807.545081
171,0.706125,0.005302,0.018197,1418365.416627,0.000000,1783984.252988,1852540.738136,741580.787395,2093807.545081
172,0.706568,0.011486,0.013430,1422815.469922,0.000000,1783984.252988,1852540.738136,526668.125957,2093807.545081
173,0.707005,-0.000240,0.025228,1450525.854067,0.000000,1783984.252988,1852540.738136,572000.530116,2093807.545081
174,0.707543,-0.006673,-0.001151,1446272.429682,0.000000,1783984.252988,1852540.738136,-970950.387676,2093807.545081
175,0.707858,-0.017506,0.020166,1688247.995835,0.000000,1783984.252988,1852540.738136,-748467.975668,2093807.545081
176,0.708458,-0.009578,0.011518,1532598.856982,0.000000,1783984.252988,1852540.738136,398826.230746,2093807.545081
177,0.708667,0.004591,0.039868,1437739.850689,0.000000,1783984.252988,1852540.738136,1296141.030255,2093807.545081
178,0.709608,0.014714,0.005949,1428419.059721,0.000000,1783984.252988,1852540.738136,-505942.324199,2093807.545081
179,0.709739,-0.001267,-0.007053,1363254.377114,0.000000,1783984.252988,1852540.738136,-292826.743117,2093807.545081
180,0.710547,0.003004,0.027623,1447443.540205,0.000000,1783984.252988,1852540.738136,-808164.701566,2093807.545081
181,0.710732,-0.004461,0.019047,1487973.419190,1723841.057826,1783984.252988,1852540.738136,243952.633970,2093807.545081
182,0.711141,-0.021399,-0.004920,1723366.827997,0.000000,1783984.252988,1852540.738136,891942.026744,2093807.545081
183,0.713461,0.014789,0.026538,1490772.268423,0.000000,1783984.252988,1852540.738136,-87449.056270,2093807.545081
184,0.713536,-0.004270,0.025105,1500827.475131,1725925.526910,1783984.252988,1852540.738136,-433774.052090,2093807.545081
185,0.713660,0.011552,0.036968,1471151.786430,0.000000,1783984.252988,1852540.738136,-750940.651690,2093807.545081
186,0.713787,0.011885,0.013143,1443681.696894,0.000000,1783984.252988,1852540.738136,-284268.864575,2093807.545081
187,0.714028,0.020729,0.041862,1564468.490052,1726292.489791,1783984.252988,1852540.738136,-1013079.261157,2093807.545081
188,0.714109,0.007380,0.029552,1455676.914448,0.000000,1783984.252988,1852540.738136,433010.422103,2093807.545081
189,0.715545,0.010248,0.019593,1455664.999226,0.000000,1783984.252988,1852540.738136,569364.235341,2093807.545081
190,0.715879,0.001726,0.009129,1431217.982502,1727673.329722,1783984.252988,1852540.738136,388337.138229,2093807.545081
191,0.717339,0.013710,0.022003,1485594.400830,0.000000,1783984.252988,1852540.738136,-81015.810010,2093807.545081
192,0.717657,0.000582,-0.007382,1370030.678691,0.000000,1783984.252988,1852540.738136,-395052.157857,2093807.545081
193,0.717945,-0.004814,0.005538,1477453.185388,0.000000,1783984.252988,1852540.738136,858875.236784,2093807.545081
194,0.718348,0.014011,-0.001655,1411866.770515,0.000000,1783984.252988,1852540.738136,699790.012998,2093807.545081
195,0.718448,0.000702,0.030868,1479446.455267,0.000000,1783984.252988,1852540.738136,-302171.011755,2093807.545081
196,0.719075,0.016945,0.015308,1505300.581306,0.000000,1783984.252988,1852540.738136,878555.610221,2093807.545081
197,0.719186,0.017142,0.028830,1531015.321209,0.000000,1783984.252988,1852540.738136,152236.728677,2093807.545081
198,0.719699,-0.001341,0.021347,1487896.213653,0.000000,1783984.252988,1852540.738136,-670289.297730,2093807.545081
199,0.719938,0.012923,0.030039,1495754.611308,1730714.804567,1783984.252988,1852540.738136,82880.582147,2093807.545081
200,0.720136,0.005523,0.011017,1438371.406236,0.000000,1783984.252988,1852540.738136,-232198.023053,2093807.545081
201,0.720280,0.011677,-0.005243,1382682.479295,0.000000,1783984.252988,1852540.738136,964673.109383,2093807.545081
202,0.720359,0.017356,0.045111,1533323.513628,1731030.973152,1783984.252988,1852540.738136,254805.125728,2093807.545081
203,0.720408,-0.002371,-0.005870,1409929.066825,0.000000,1783984.252988,1852540.738136,578432.757174,2093807.545081
204,0.720697,0.006239,0.017056,1455413.280129,0.000000,1783984.252988,1852540.738136,773668.891041,2093807.545081
205,0.720701,-0.005598,-0.006637,1442554.751451,0.000000,1783984.252988,1852540.738136,-472360.078373,2093807.545081
206,0.721619,0.004764,0.008819,1436368.718623,1731979.416986,1783984.252988,1852540.738136,52350.636491,2093807.545081
207,0.722765,-0.005415,0.003918,1491692.126885,0.000000,1783984.252988,1852540.738136,-93929.530924,2093807.545081
208,0.722961,-0.002431,0.010730,1483308.005085,0.000000,1783984.252988,1852540.738136,-243977.984581,2093807.545081
209,0.723087,-0.005173,0.005320,1494625.959868,0.000000,1783984.252988,1852540.738136,369443.233838,2093807.545081
210,0.723571,-0.002748,0.004786,1468915.168253,0.000000,1783984.252988,1852540.738136,265880.653211,2093807.545081
211,0.724165,-0.004106,-0.007370,1430528.187873,0.000000,1783984.252988,1852540.738136,66849.810616,2093807.545081
212,0.726141,-0.003051,0.014529,1506825.759930,0.000000,1783984.252988,1852540.738136,-471020.553460,2093807.545081
213,0.727383,-0.005337,0.008541,1518130.474686,0.000000,1783984.252988,1852540.738136,-457387.707205,2093807.545081
214,0.727389,-0.000342,0.008431,1472323.060285,0.000000,1783984.252988,1852540.738136,259587.437073,2093807.545081
215,0.727395,-0.006256,0.015146,1545180.352485,0.000000,1783984.252988,1852540.738136,630830.165223,2093807.545081
216,0.728657,0.019650,0.063027,1542168.002016,0.000000,1783984.252988,1852540.738136,-417569.638757,2093807.545081
217,0.728699,0.026734,0.008877,1651991.805700,0.000000,1783984.252988,1852540.738136,-613741.882952,2093807.545081
218,0.729788,0.000785,0.018059,1496218.672866,0.000000,1783984.252988,1852540.738136,698971.207204,2093807.545081
219,0.729932,0.005645,0.031449,1497638.721622,0.000000,1783984.252988,1852540.738136,-1166.923863,2093807.545081
220,0.731132,-0.007654,0.034115,1586950.314354,0.000000,1783984.252988,1852540.738136,723555.674411,2093807.545081
221,0.731444,0.008427,0.003410,1443660.863018,0.000000,1783984.252988,1852540.738136,-901108.522234,2093807.545081
222,0.734042,0.009595,0.016770,1496327.941284,1741416.942727,1783984.252988,1852540.738136,-1645088.656276,2093807.545081
223,0.735125,-0.004272,0.018713,1550234.171637,0.000000,1783984.252988,1852540.738136,-42510.444838,2093807.545081
224,0.736583,-0.005007,-0.012203,1448484.505858,0.000000,1783984.252988,1852540.738136,-36167.166520,2093807.545081
225,0.736646,0.007831,0.021405,1507749.292828,0.000000,1783984.252988,1852540.738136,571868.604710,2093807.545081
226,0.737810,0.006998,-0.000004,1444484.453192,0.000000,1783984.252988,1852540.738136,1487360.224734,2093807.545081
227,0.737947,0.010982,0.012990,1502517.235250,0.000000,1783984.252988,1852540.738136,-438277.271283,2093807.545081
228,0.738240,-0.009528,0.001878,1580598.356146,0.000000,1783984.252988,1852540.738136,-1131648.521275,2093807.545081
229,0.738423,0.004795,0.021235,1511540.843672,0.000000,1783984.252988,1852540.738136,-1086252.380290,2093807.545081
230,0.739149,-0.012779,0.002706,1638715.088077,0.000000,1783984.252988,1852540.738136,-1347277.657858,2093807.545081
231,0.739480,-0.002477,0.017341,1542887.673935,0.000000,1783984.252988,1852540.738136,-1063375.397125,2093807.545081
232,0.739919,0.012970,0.066230,1485892.161684,1745939.440750,1783984.252988,1852540.738136,53774.681037,2093807.545081
233,0.740728,0.014714,0.053011,1544759.465001,0.000000,1783984.252988,1852540.738136,-944501.834019,2093807.545081
234,0.740793,0.021839,0.024384,1638147.178897,0.000000,1783984.252988,1852540.738136,45088.120747,2093807.545081
235,0.741451,-0.011202,0.040553,1656953.456629,0.000000,1783984.252988,1852540.738136,531673.281834,2093807.545081
236,0.741524,-0.003064,0.010742,1538442.879267,0.000000,1783984.252988,1852540.738136,-377664.215125,2093807.545081
