#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,-0.026434,242239.055483,0.000000,98438.267871,98433.223691,143700.775428,130922.570270
1,-0.025956,241323.675955,0.000000,98438.267871,98433.223691,66609.481623,130922.570270
2,-0.025832,241086.717468,124414.135408,98438.267871,98433.223691,50056.284380,130922.570270
3,-0.022576,234750.640316,124357.164935,98438.267871,98433.223691,111503.968558,130922.570270
4,-0.020518,230655.493618,0.000000,98438.267871,98433.223691,-3956.941221,130922.570270
5,-0.020440,230498.811445,0.000000,98438.267871,98433.223691,-147081.215112,130922.570270
6,-0.020262,230142.500664,0.000000,98438.267871,98433.223691,85952.436507,130922.570270
7,-0.019027,227644.521840,0.000000,98438.267871,98433.223691,59759.002289,130922.570270
8,-0.018901,227387.567527,0.000000,98438.267871,98433.223691,330327.115378,130922.570270
9,-0.018642,226860.511543,0.000000,98438.267871,98433.223691,-131280.186022,130922.570270
10,-0.018490,226550.015295,0.000000,98438.267871,98433.223691,126493.077039,130922.570270
11,-0.018140,225832.347438,0.000000,98438.267871,98433.223691,-92885.780272,130922.570270
12,-0.017329,224163.718448,0.000000,98438.267871,98433.223691,-21375.510766,130922.570270
13,-0.016993,223469.508622,0.000000,98438.267871,98433.223691,-11139.275729,130922.570270
14,-0.016740,222944.417044,0.000000,98438.267871,98433.223691,-34892.051787,130922.570270
15,-0.016697,222855.714447,0.000000,98438.267871,98433.223691,-2283.826907,130922.570270
16,-0.016510,222466.060980,0.000000,98438.267871,98433.223691,1418.765857,130922.570270
17,-0.016248,221921.160101,124246.451969,98438.267871,98433.223691,-38703.920664,130922.570270
18,-0.016058,221523.839560,0.000000,98438.267871,98433.223691,-115963.271965,130922.570270
19,-0.015164,219648.173209,0.000000,98438.267871,98433.223691,-93557.010888,130922.570270
20,-0.014866,219018.313901,0.000000,98438.267871,98433.223691,-44909.250248,130922.570270
21,-0.014577,218406.953414,0.000000,98438.267871,98433.223691,213091.596622,130922.570270
22,-0.014413,218060.282120,0.000000,98438.267871,98433.223691,-41231.152518,130922.570270
23,-0.014406,218044.216916,0.000000,98438.267871,98433.223691,-132251.121145,130922.570270
24,-0.014065,217319.559443,0.000000,98438.267871,98433.223691,39740.450443,130922.570270
25,-0.013741,216628.016738,0.000000,98438.267871,98433.223691,94691.017514,130922.570270
26,-0.013674,216484.814266,0.000000,98438.267871,98433.223691,43535.542626,130922.570270
27,-0.013528,216171.704218,0.000000,98438.267871,98433.223691,-165076.974227,130922.570270
28,-0.013310,215705.518673,0.000000,98438.267871,98433.223691,-114019.973176,130922.570270
29,-0.013307,215697.976460,124194.987462,98438.267871,98433.223691,19629.278708,130922.570270
30,-0.012471,213897.489445,0.000000,98438.267871,98433.223691,34038.191373,130922.570270
31,-0.012181,213269.066313,0.000000,98438.267871,98433.223691,157043.890753,130922.570270
32,-0.011475,211729.556927,0.000000,98438.267871,98433.223691,99603.944245,130922.570270
33,-0.011254,211247.742881,0.000000,98438.267871,98433.223691,-37773.635239,130922.570270
34,-0.011022,210737.839413,0.000000,98438.267871,98433.223691,-35712.352960,130922.570270
35,-0.010841,210340.826480,0.000000,98438.267871,98433.223691,-66166.390025,130922.570270
36,-0.010386,209336.137503,0.000000,98438.267871,98433.223691,109731.723437,130922.570270
37,-0.010376,209314.817151,0.000000,98438.267871,98433.223691,40066.212450,130922.570270
38,-0.010163,208843.036948,124139.991478,98438.267871,98433.223691,11267.380060,130922.570270
39,-0.010036,208560.111188,0.000000,98438.267871,98433.223691,-93574.325955,130922.570270
40,-0.009958,208387.610408,0.000000,98438.267871,98433.223691,44996.674453,130922.570270
41,-0.009697,207807.803893,0.000000,98438.267871,98433.223691,112383.116626,130922.570270
42,-0.008693,205558.393033,0.000000,98438.267871,98433.223691,111465.865441,130922.570270
43,-0.008660,205483.644638,0.000000,98438.267871,98433.223691,-11529.138606,130922.570270
44,-0.008643,205444.939652,0.000000,98438.267871,98433.223691,-61084.386059,130922.570270
45,-0.008402,204901.505084,0.000000,98438.267871,98433.223691,86329.692588,130922.570270
46,-0.008244,204543.619679,0.000000,98438.267871,98433.223691,114030.504698,130922.570270
47,-0.008199,204442.268198,0.000000,98438.267871,98433.223691,-7000.637375,130922.570270
48,-0.008048,204101.009668,0.000000,98438.267871,98433.223691,-148147.002476,130922.570270
49,-0.007508,202870.793664,0.000000,98438.267871,98433.223691,-153760.854632,130922.570270
50,-0.007396,202615.028029,0.000000,98438.267871,98433.223691,-21635.529481,130922.570270
