#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
635,0.026348,74997.908669,0.000000,92446.153672,98433.223691,0.000000,130922.570270
636,0.026365,74911.090397,123500.798973,92446.153672,98433.223691,0.000000,130922.570270
637,0.026439,74535.472650,0.000000,92446.153672,98433.223691,0.000000,130922.570270
638,0.026509,74184.661829,0.000000,92446.153672,98433.223691,0.000000,130922.570270
639,0.026510,74179.280713,0.000000,92446.153672,98433.223691,0.000000,130922.570270
640,0.026572,73863.197294,0.000000,92446.153672,98433.223691,0.000000,130922.570270
641,0.026593,73757.997088,0.000000,92446.153672,98433.223691,0.000000,130922.570270
642,0.026641,73513.376535,0.000000,92446.153672,98433.223691,0.000000,130922.570270
643,0.026683,73301.180494,0.000000,92446.153672,98433.223691,0.000000,130922.570270
644,0.026713,73151.004534,0.000000,92446.153672,98433.223691,0.000000,130922.570270
645,0.026779,72813.561715,0.000000,92446.153672,98433.223691,0.000000,130922.570270
646,0.026837,72519.256067,0.000000,92446.153672,98433.223691,0.000000,130922.570270
647,0.026876,72318.392640,0.000000,92446.153672,98433.223691,0.000000,130922.570270
648,0.026877,72315.750068,0.000000,92446.153672,98433.223691,0.000000,130922.570270
649,0.026968,71850.372190,0.000000,92446.153672,98433.223691,0.000000,130922.570270
650,0.026985,71762.910789,0.000000,92446.153672,98433.223691,0.000000,130922.570270
651,0.027141,70963.950504,0.000000,92446.153672,98433.223691,0.000000,130922.570270
652,0.027189,70718.519839,0.000000,92446.153672,98433.223691,0.000000,130922.570270
653,0.027316,70060.389474,0.000000,92446.153672,98433.223691,0.000000,130922.570270
654,0.027342,69930.306391,0.000000,92446.153672,98433.223691,0.000000,130922.570270
655,0.027357,69849.903754,0.000000,92446.153672,98433.223691,0.000000,130922.570270
656,0.027368,69793.597554,0.000000,92446.153672,98433.223691,0.000000,130922.570270
657,0.027406,69596.774663,0.000000,92446.153672,98433.223691,0.000000,130922.570270
658,0.027559,68801.398077,0.000000,92446.153672,98433.223691,0.000000,130922.570270
659,0.027577,68706.582811,0.000000,92446.153672,98433.223691,0.000000,130922.570270
660,0.027592,68632.726195,0.000000,92446.153672,98433.223691,0.000000,130922.570270
661,0.027768,67710.005136,0.000000,92446.153672,98433.223691,0.000000,130922.570270
662,0.027804,67522.934108,0.000000,92446.153672,98433.223691,0.000000,130922.570270
663,0.027817,67453.680562,0.000000,92446.153672,98433.223691,0.000000,130922.570270
664,0.027819,67442.483090,0.000000,92446.153672,98433.223691,0.000000,130922.570270
665,0.027871,67171.977993,0.000000,92446.153672,98433.223691,0.000000,130922.570270
666,0.027898,67026.042312,0.000000,92446.153672,98433.223691,0.000000,130922.570270
667,0.027921,66905.980703,0.000000,92446.153672,98433.223691,0.000000,130922.570270
668,0.028097,65975.293846,0.000000,92446.153672,98433.223691,0.000000,130922.570270
669,0.028133,65783.865626,0.000000,92446.153672,98433.223691,0.000000,130922.570270
670,0.028152,65686.935756,0.000000,92446.153672,98433.223691,0.000000,130922.570270
671,0.028170,65591.881647,0.000000,92446.153672,98433.223691,0.000000,130922.570270
672,0.028177,65553.991985,0.000000,92446.153672,98433.223691,0.000000,130922.570270
673,0.028196,65454.272915,123468.759589,92446.153672,98433.223691,0.000000,130922.570270
674,0.028232,65259.995969,0.000000,92446.153672,98433.223691,0.000000,130922.570270
675,0.028301,64892.527390,0.000000,92446.153672,98433.223691,0.000000,130922.570270
676,0.028338,64696.373031,0.000000,92446.153672,98433.223691,0.000000,130922.570270
677,0.028379,64475.325303,0.000000,92446.153672,98433.223691,0.000000,130922.570270
678,0.028467,64002.298026,0.000000,92446.153672,98433.223691,0.000000,130922.570270
679,0.028477,63952.667289,0.000000,92446.153672,98433.223691,0.000000,130922.570270
680,0.028483,63916.717169,0.000000,92446.153672,98433.223691,0.000000,130922.570270
681,0.028736,62551.470241,0.000000,92446.153672,98433.223691,0.000000,130922.570270
682,0.028784,62292.369417,0.000000,92446.153672,98433.223691,0.000000,130922.570270
683,0.028846,61950.720356,0.000000,92446.153672,98433.223691,0.000000,130922.570270
684,0.028860,61878.985303,0.000000,92446.153672,98433.223691,0.000000,130922.570270
685,0.028895,61686.632977,0.000000,92446.153672,98433.223691,0.000000,130922.570270
686,0.028907,61619.742627,0.000000,92446.153672,98433.223691,0.000000,130922.570270
687,0.028908,61615.012400,0.000000,92446.153672,98433.223691,0.000000,130922.570270
688,0.028922,61539.301672,0.000000,92446.153672,98433.223691,0.000000,130922.570270
689,0.028923,61531.765684,0.000000,92446.153672,98433.223691,0.000000,130922.570270
690,0.028930,61493.742120,123455.903082,92446.153672,98433.223691,0.000000,130922.570270
691,0.028953,61370.458483,0.000000,92446.153672,98433.223691,0.000000,130922.570270
692,0.029018,61012.814860,0.000000,92446.153672,98433.223691,0.000000,130922.570270
693,0.029052,60824.112331,0.000000,92446.153672,98433.223691,0.000000,130922.570270
694,0.029105,60531.645901,0.000000,92446.153672,98433.223691,0.000000,130922.570270
695,0.029176,60140.271131,0.000000,92446.153672,98433.223691,0.000000,130922.570270
696,0.029192,60053.103863,0.000000,92446.153672,98433.223691,0.000000,130922.570270
