#Sample,Regressor_0_USD,Regressor_1_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.436162,0.009921,341848.973213,568888.168227,662296.120525,686680.771158,-232736.715915,705674.475361
1,0.447045,0.006315,346199.570923,0.000000,662296.120525,686680.771158,14962.028202,705674.475361
2,0.452195,0.004199,349723.884398,0.000000,662296.120525,686680.771158,213598.402419,705674.475361
3,0.458077,0.036541,440413.995930,0.000000,662296.120525,686680.771158,-167553.232011,705674.475361
4,0.459925,0.013658,363152.366838,573986.897753,662296.120525,686680.771158,-5390.811543,705674.475361
5,0.461765,0.037420,445271.740576,0.000000,662296.120525,686680.771158,-32562.973380,705674.475361
6,0.474739,0.011122,369758.740681,0.000000,662296.120525,686680.771158,-75435.016487,705674.475361
7,0.478441,0.022809,393270.175727,0.000000,662296.120525,686680.771158,-71309.757232,705674.475361
8,0.482311,0.046400,493332.151887,0.000000,662296.120525,686680.771158,-50352.420209,705674.475361
9,0.482697,0.021015,390686.474479,0.000000,662296.120525,686680.771158,4255.016311,705674.475361
10,0.494379,0.012529,384313.208213,0.000000,662296.120525,686680.771158,51257.593970,705674.475361
11,0.494765,0.009280,383177.527380,0.000000,662296.120525,686680.771158,-39886.418762,705674.475361
12,0.499794,0.046768,496152.194289,0.000000,662296.120525,686680.771158,-14693.972965,705674.475361
13,0.508237,0.017041,397612.842776,0.000000,662296.120525,686680.771158,91212.917065,705674.475361
14,0.517624,0.011680,400106.541728,0.000000,662296.120525,686680.771158,119162.082331,705674.475361
15,0.518390,-0.005350,422143.846326,0.000000,662296.120525,686680.771158,280841.653582,705674.475361
16,0.519050,0.037431,456414.130815,0.000000,662296.120525,686680.771158,-383587.374665,705674.475361
17,0.521642,0.028900,428439.202538,0.000000,662296.120525,686680.771158,-36323.696926,705674.475361
18,0.522520,0.011120,403583.908567,0.000000,662296.120525,686680.771158,74038.066736,705674.475361
19,0.524274,0.018992,409560.607207,0.000000,662296.120525,686680.771158,-97650.582252,705674.475361
20,0.533540,0.022540,419830.636691,0.000000,662296.120525,686680.771158,199008.106994,705674.475361
21,0.534371,0.075301,660535.764371,0.000000,662296.120525,686680.771158,-16410.025161,705674.475361
22,0.534456,0.019157,415745.179567,0.000000,662296.120525,686680.771158,115674.459883,705674.475361
23,0.536452,0.039081,466954.011839,0.000000,662296.120525,686680.771158,-267850.184799,705674.475361
24,0.538819,0.022363,422373.775991,592237.497777,662296.120525,686680.771158,-251457.308822,705674.475361
25,0.540096,0.003985,422713.748737,592550.591643,662296.120525,686680.771158,-17232.559582,705674.475361
