#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
839,0.863108,1.262232,-0.001812,0.004613,0.005005,3275078.161395,0.000000,3123367.199325,3125613.409752,-1613262.799300,3046376.959391
840,0.863112,1.245024,-0.001559,0.007129,0.006230,3154578.600543,0.000000,3123367.199325,3125613.409752,-577264.565079,3046376.959391
841,0.863114,1.172718,-0.001345,0.008861,0.012799,2947355.425290,0.000000,3123367.199325,3125613.409752,1472171.369896,3046376.959391
842,0.863135,1.288422,0.004870,0.010478,0.012356,3180118.791085,0.000000,3123367.199325,3125613.409752,998141.920661,3046376.959391
843,0.863150,1.225066,0.000098,0.011874,0.011757,2926337.349879,0.000000,3123367.199325,3125613.409752,1194703.027333,3046376.959391
844,0.863150,1.218483,0.000233,0.006155,0.006291,3218548.984977,0.000000,3123367.199325,3125613.409752,1072644.414085,3046376.959391
845,0.863160,1.177243,-0.002220,0.009668,0.009797,2924133.887952,0.000000,3123367.199325,3125613.409752,267067.612975,3046376.959391
846,0.863188,1.225317,-0.001887,0.008623,0.004071,3088647.923154,0.000000,3123367.199325,3125613.409752,739436.689904,3046376.959391
847,0.863235,1.181796,0.000704,0.008884,0.005466,3096725.776184,3125449.948588,3123367.199325,3125613.409752,-2535865.923193,3046376.959391
848,0.863251,1.218716,-0.000758,0.010605,0.006488,3007019.250567,0.000000,3123367.199325,3125613.409752,-1474370.513305,3046376.959391
849,0.863275,1.217427,-0.000676,0.004727,0.004692,3264452.400391,0.000000,3123367.199325,3125613.409752,-646882.126884,3046376.959391
850,0.863286,1.246123,-0.004378,0.003646,0.006219,3214499.100368,0.000000,3123367.199325,3125613.409752,84467.551499,3046376.959391
851,0.863321,1.195235,0.001330,0.005534,0.006995,3244930.394648,0.000000,3123367.199325,3125613.409752,691538.635222,3046376.959391
852,0.863328,1.237219,0.000064,0.005670,0.004895,3264273.847932,0.000000,3123367.199325,3125613.409752,-55940.171831,3046376.959391
853,0.863348,1.255972,-0.002931,0.005077,0.006552,3204312.421424,0.000000,3123367.199325,3125613.409752,192649.133509,3046376.959391
854,0.863354,1.182792,0.000698,0.004400,0.003732,3293202.256819,0.000000,3123367.199325,3125613.409752,224085.404286,3046376.959391
855,0.863402,1.263413,0.000907,0.006527,0.007210,3254583.911550,0.000000,3123367.199325,3125613.409752,-1194437.175151,3046376.959391
856,0.863407,1.260104,-0.004091,0.010064,0.005069,2986408.948368,3125450.186511,3123367.199325,3125613.409752,1396181.736296,3046376.959391
857,0.863410,1.201746,-0.001307,0.008758,0.003451,3084062.706991,0.000000,3123367.199325,3125613.409752,527217.940796,3046376.959391
858,0.863423,1.223829,-0.006195,0.007507,0.004129,3005681.343034,0.000000,3123367.199325,3125613.409752,429847.892857,3046376.959391
859,0.863435,1.222207,0.005986,0.009646,0.007990,3228172.694358,0.000000,3123367.199325,3125613.409752,-545338.531929,3046376.959391
860,0.863440,1.241722,-0.006835,0.004810,0.003805,3119229.901378,0.000000,3123367.199325,3125613.409752,-507987.990512,3046376.959391
861,0.863470,1.224681,0.000880,0.009294,0.007101,3108766.787789,0.000000,3123367.199325,3125613.409752,-235739.305503,3046376.959391
862,0.863480,1.237053,0.002058,0.012613,0.012044,2963460.517224,0.000000,3123367.199325,3125613.409752,-108052.734166,3046376.959391
863,0.863544,1.234791,-0.001617,0.003956,0.008692,3243597.788049,0.000000,3123367.199325,3125613.409752,505415.945854,3046376.959391
864,0.863549,1.256812,-0.001091,0.009978,0.004699,3079911.127087,0.000000,3123367.199325,3125613.409752,568216.682861,3046376.959391
865,0.863582,1.186159,-0.001803,0.004144,0.003948,3235052.103552,0.000000,3123367.199325,3125613.409752,-2623012.413529,3046376.959391
866,0.863586,1.212896,0.000258,0.012956,0.012105,2867700.224488,0.000000,3123367.199325,3125613.409752,-1379152.552156,3046376.959391
867,0.863597,1.242451,-0.001731,0.003725,0.007508,3268508.900108,0.000000,3123367.199325,3125613.409752,-1126350.486418,3046376.959391
868,0.863597,1.218943,0.003518,0.009542,0.007028,3169769.337173,0.000000,3123367.199325,3125613.409752,316376.859086,3046376.959391
869,0.863641,1.235133,0.003520,0.009544,0.009052,3163768.835959,0.000000,3123367.199325,3125613.409752,-345970.970884,3046376.959391
870,0.863767,1.239048,-0.002681,0.005815,0.004786,3184775.840838,0.000000,3123367.199325,3125613.409752,1262649.526826,3046376.959391
871,0.863837,1.184627,0.001153,0.011349,0.007698,2986008.036243,0.000000,3123367.199325,3125613.409752,1050516.729553,3046376.959391
872,0.863840,1.228316,-0.002182,0.008184,0.007465,3064607.703776,0.000000,3123367.199325,3125613.409752,238347.239936,3046376.959391
873,0.863844,1.183574,-0.002368,0.007134,0.010085,3030703.540698,0.000000,3123367.199325,3125613.409752,-1474901.036541,3046376.959391
874,0.863846,1.212975,-0.001331,0.011819,0.004114,2958914.639438,0.000000,3123367.199325,3125613.409752,-173407.846507,3046376.959391
875,0.863853,1.224871,0.001361,0.012799,0.013562,2904648.428692,0.000000,3123367.199325,3125613.409752,-1613270.307947,3046376.959391
876,0.863857,1.239679,-0.000612,0.009381,0.005092,3097727.265313,0.000000,3123367.199325,3125613.409752,-1360381.714484,3046376.959391
877,0.863867,1.226198,0.000320,0.007539,0.011126,3122642.658359,0.000000,3123367.199325,3125613.409752,-1894803.064427,3046376.959391
878,0.863887,1.200670,0.005129,0.007765,0.010588,3231702.727647,0.000000,3123367.199325,3125613.409752,126373.581411,3046376.959391
879,0.863893,1.302602,-0.001589,0.007657,0.011261,3133932.015283,0.000000,3123367.199325,3125613.409752,2073181.864517,3046376.959391
880,0.863931,1.258916,-0.001778,0.009146,0.006968,3071760.007912,0.000000,3123367.199325,3125613.409752,-662869.444006,3046376.959391
881,0.863946,1.236567,-0.001457,0.009456,0.003704,3081965.100414,0.000000,3123367.199325,3125613.409752,-3967129.692171,3046376.959391
882,0.863946,1.170766,0.004147,0.009133,0.009345,3134551.196466,0.000000,3123367.199325,3125613.409752,1009157.861409,3046376.959391
883,0.863957,1.237055,-0.001164,0.004370,0.004714,3282560.284184,0.000000,3123367.199325,3125613.409752,1697368.251685,3046376.959391
884,0.863968,1.204667,-0.001101,0.007232,0.006640,3121199.014549,0.000000,3123367.199325,3125613.409752,1664697.928693,3046376.959391
885,0.863969,1.247285,-0.000555,0.009065,0.003635,3134977.355744,0.000000,3123367.199325,3125613.409752,2985715.794750,3046376.959391
886,0.863978,1.274726,-0.002437,0.008764,0.007587,3076793.378899,0.000000,3123367.199325,3125613.409752,433417.235940,3046376.959391
887,0.863992,1.283467,-0.000644,0.000934,0.004418,3469059.068302,0.000000,3123367.199325,3125613.409752,181811.092897,3046376.959391
888,0.864010,1.266892,-0.000752,0.010751,0.011517,2993333.529774,0.000000,3123367.199325,3125613.409752,488387.711087,3046376.959391
889,0.864027,1.236319,0.001389,0.013650,0.010226,2918140.328597,0.000000,3123367.199325,3125613.409752,-775273.512213,3046376.959391
890,0.864029,1.251296,-0.003805,0.007395,0.003926,3109688.217248,0.000000,3123367.199325,3125613.409752,-2207828.054644,3046376.959391
891,0.864102,1.258251,-0.001658,0.008337,0.004429,3134707.294171,0.000000,3123367.199325,3125613.409752,441988.723877,3046376.959391
892,0.864122,1.291708,0.000631,0.005783,0.005895,3314675.377036,0.000000,3123367.199325,3125613.409752,404410.476833,3046376.959391
893,0.864129,1.256868,0.000190,0.010905,0.004719,3079208.150218,0.000000,3123367.199325,3125613.409752,435556.619659,3046376.959391
894,0.864146,1.241299,-0.000987,0.014655,0.007337,2837974.082794,0.000000,3123367.199325,3125613.409752,1128902.793749,3046376.959391
895,0.864156,1.236983,0.003573,0.009645,0.005844,3196501.670331,0.000000,3123367.199325,3125613.409752,343875.659734,3046376.959391
896,0.864177,1.178837,-0.000310,0.008018,0.011088,3039383.491763,0.000000,3123367.199325,3125613.409752,-1042835.933133,3046376.959391
897,0.864192,1.322203,0.002032,0.008313,0.006456,3277616.119461,0.000000,3123367.199325,3125613.409752,-1366540.223874,3046376.959391
898,0.864193,1.258461,0.001472,0.010367,0.005200,3134741.485304,0.000000,3123367.199325,3125613.409752,453313.084614,3046376.959391
899,0.864211,1.197475,0.000972,0.009073,0.008757,3076758.838632,0.000000,3123367.199325,3125613.409752,-3818.628182,3046376.959391
900,0.864231,1.206550,-0.000382,0.009772,0.008405,3020410.314788,0.000000,3123367.199325,3125613.409752,-1848033.200165,3046376.959391
901,0.864248,1.223342,-0.001289,0.008929,0.004789,3084169.881272,0.000000,3123367.199325,3125613.409752,1693687.651474,3046376.959391
902,0.864254,1.264986,0.000941,0.009047,0.010200,3126132.180229,0.000000,3123367.199325,3125613.409752,788925.296579,3046376.959391
903,0.864263,1.277223,0.000072,0.009148,0.009607,3114905.099546,3125451.368601,3123367.199325,3125613.409752,178185.859397,3046376.959391
904,0.864275,1.198092,0.002464,0.007780,0.012223,3136386.334246,0.000000,3123367.199325,3125613.409752,1595976.557591,3046376.959391
905,0.864281,1.207380,-0.001338,0.008305,0.008312,3055027.725574,3125451.393193,3123367.199325,3125613.409752,1312236.258457,3046376.959391
906,0.864298,1.203397,0.002085,0.011626,0.008828,3008521.380970,0.000000,3123367.199325,3125613.409752,-1720577.692527,3046376.959391
907,0.864318,1.287978,-0.000089,0.008765,0.008083,3152036.046610,0.000000,3123367.199325,3125613.409752,-1179658.962489,3046376.959391
908,0.864321,1.239636,-0.003348,0.007908,0.007311,3054472.245847,0.000000,3123367.199325,3125613.409752,-3539312.418121,3046376.959391
909,0.864324,1.251953,-0.003164,0.006520,0.009231,3108107.626885,0.000000,3123367.199325,3125613.409752,-2976276.961343,3046376.959391
910,0.864334,1.247938,0.001081,0.011070,0.003471,3103277.569355,0.000000,3123367.199325,3125613.409752,-1789971.635785,3046376.959391
911,0.864343,1.254933,-0.003035,0.005678,0.008417,3157284.959569,0.000000,3123367.199325,3125613.409752,806593.431225,3046376.959391
912,0.864394,1.214708,0.003153,0.008012,0.003703,3250448.026630,0.000000,3123367.199325,3125613.409752,-858060.274079,3046376.959391
913,0.864412,1.193265,-0.001440,0.006584,0.007460,3118255.230018,0.000000,3123367.199325,3125613.409752,1495267.402928,3046376.959391
914,0.864437,1.226928,0.001987,0.004960,0.006360,3320361.704249,0.000000,3123367.199325,3125613.409752,-1891559.201213,3046376.959391
915,0.864438,1.215236,-0.000954,0.006964,0.008431,3127447.344607,0.000000,3123367.199325,3125613.409752,-1298870.248732,3046376.959391
916,0.864445,1.196433,-0.001814,0.005495,0.005852,3171334.118986,0.000000,3123367.199325,3125613.409752,-685840.150013,3046376.959391
917,0.864445,1.228156,-0.000597,0.009744,0.008409,3036397.088670,0.000000,3123367.199325,3125613.409752,-398828.520949,3046376.959391
918,0.864463,1.215327,-0.000970,0.009562,0.008573,3018534.434254,0.000000,3123367.199325,3125613.409752,-1882031.007306,3046376.959391
919,0.864484,1.242691,-0.001932,0.008980,0.008278,3044236.081308,0.000000,3123367.199325,3125613.409752,2885845.334692,3046376.959391
920,0.864506,1.217699,-0.002436,0.003624,0.006188,3243956.482846,0.000000,3123367.199325,3125613.409752,6800.777800,3046376.959391
921,0.864518,1.232600,-0.000441,0.011726,0.008641,2959169.134662,0.000000,3123367.199325,3125613.409752,703239.356693,3046376.959391
922,0.864536,1.227271,-0.001648,0.010555,0.008306,2970970.904253,0.000000,3123367.199325,3125613.409752,-745601.981813,3046376.959391
923,0.864547,1.268387,0.000232,0.006676,0.006273,3244436.919933,0.000000,3123367.199325,3125613.409752,669405.528492,3046376.959391
924,0.864554,1.256774,-0.000136,0.003909,0.006692,3326265.495931,0.000000,3123367.199325,3125613.409752,-2803079.023502,3046376.959391
925,0.864570,1.199058,-0.000096,0.012042,0.008146,2927898.038380,0.000000,3123367.199325,3125613.409752,-1377176.335147,3046376.959391
926,0.864581,1.186801,-0.001689,0.007600,0.005400,3085384.719730,0.000000,3123367.199325,3125613.409752,1468752.613790,3046376.959391
927,0.864592,1.277047,-0.003255,0.008275,0.008906,3061066.531644,0.000000,3123367.199325,3125613.409752,1469749.439442,3046376.959391
928,0.864608,1.218831,-0.003952,0.006363,0.007461,3078826.802688,0.000000,3123367.199325,3125613.409752,394999.396604,3046376.959391
929,0.864620,1.233780,0.000482,0.009764,0.007230,3085529.221802,0.000000,3123367.199325,3125613.409752,-48214.403101,3046376.959391
930,0.864625,1.231109,0.002899,0.010788,0.009984,3081939.258572,0.000000,3123367.199325,3125613.409752,-440913.257468,3046376.959391
931,0.864629,1.206384,0.004438,0.008973,0.010129,3174702.131852,0.000000,3123367.199325,3125613.409752,733508.142611,3046376.959391
932,0.864635,1.230056,-0.000149,0.011315,0.006577,3005891.184077,0.000000,3123367.199325,3125613.409752,2368483.142727,3046376.959391
933,0.864653,1.290588,-0.001969,0.003632,0.007357,3310683.791144,0.000000,3123367.199325,3125613.409752,2670024.275524,3046376.959391
934,0.864676,1.221587,0.003208,0.008572,0.007940,3192806.284041,0.000000,3123367.199325,3125613.409752,-300987.507579,3046376.959391
935,0.864687,1.178670,-0.002083,0.004618,0.006901,3171161.533730,0.000000,3123367.199325,3125613.409752,-1176871.366235,3046376.959391
936,0.864693,1.193959,-0.001975,0.008188,0.005088,3063096.095751,0.000000,3123367.199325,3125613.409752,-633735.812197,3046376.959391
937,0.864704,1.222736,-0.002757,0.004880,0.008605,3165032.397710,0.000000,3123367.199325,3125613.409752,-95860.008143,3046376.959391
938,0.864721,1.253666,0.004136,0.007738,0.008183,3278230.275383,0.000000,3123367.199325,3125613.409752,802721.835229,3046376.959391
939,0.864743,1.209523,-0.000498,0.003118,0.004636,3324915.959216,0.000000,3123367.199325,3125613.409752,1531945.364390,3046376.959391
940,0.864744,1.229535,-0.002039,0.008177,0.006883,3076721.123573,0.000000,3123367.199325,3125613.409752,-106827.041890,3046376.959391
941,0.864763,1.226550,-0.001567,0.003382,0.003501,3312368.871457,0.000000,3123367.199325,3125613.409752,-1243337.116463,3046376.959391
942,0.864769,1.179586,-0.001834,0.008630,0.006521,3019257.325561,0.000000,3123367.199325,3125613.409752,799016.979776,3046376.959391
943,0.864776,1.229184,0.002028,0.008466,0.005631,3194771.300576,0.000000,3123367.199325,3125613.409752,58584.145198,3046376.959391
944,0.864780,1.242572,0.000204,0.008584,0.003133,3176954.057269,0.000000,3123367.199325,3125613.409752,-501119.652018,3046376.959391
945,0.864794,1.257134,-0.001345,0.010304,0.004938,3056999.327850,0.000000,3123367.199325,3125613.409752,-260915.502043,3046376.959391
946,0.864816,1.164710,0.005116,0.009343,0.005729,3186135.268826,0.000000,3123367.199325,3125613.409752,1610275.248945,3046376.959391
947,0.864841,1.245399,0.000016,0.004508,0.006394,3300334.674255,0.000000,3123367.199325,3125613.409752,87069.533352,3046376.959391
948,0.864842,1.238806,0.002056,0.003804,0.010506,3335661.650904,0.000000,3123367.199325,3125613.409752,-459269.465998,3046376.959391
949,0.864848,1.259180,-0.002184,0.008163,0.005845,3112618.469225,0.000000,3123367.199325,3125613.409752,2116066.497392,3046376.959391
950,0.864857,1.230239,0.000073,0.009818,0.005962,3081618.820855,0.000000,3123367.199325,3125613.409752,-320096.670372,3046376.959391
951,0.864891,1.198799,0.002501,0.006692,0.006578,3240049.442566,0.000000,3123367.199325,3125613.409752,925459.240845,3046376.959391
952,0.864895,1.214783,-0.003951,0.009524,0.005528,2963631.756347,0.000000,3123367.199325,3125613.409752,943119.470182,3046376.959391
953,0.864898,1.224731,0.001100,0.014421,0.006054,2911506.646217,0.000000,3123367.199325,3125613.409752,-1145906.119761,3046376.959391
954,0.864905,1.223716,0.001314,0.010948,0.008142,3041504.147799,0.000000,3123367.199325,3125613.409752,202608.287518,3046376.959391
955,0.864911,1.250702,0.002334,0.003705,0.001484,3445264.475665,0.000000,3123367.199325,3125613.409752,-768120.164932,3046376.959391
956,0.864916,1.272851,0.003733,0.006269,0.006597,3356404.451533,0.000000,3123367.199325,3125613.409752,-3149343.951500,3046376.959391
957,0.864920,1.216833,0.000788,0.013365,0.006612,2933319.805876,0.000000,3123367.199325,3125613.409752,-658385.952476,3046376.959391
958,0.864942,1.229365,-0.000381,0.010590,0.005666,3038660.082209,0.000000,3123367.199325,3125613.409752,-1907822.820970,3046376.959391
959,0.864952,1.233553,0.000705,0.010225,0.003505,3112787.007890,0.000000,3123367.199325,3125613.409752,1272074.990460,3046376.959391
960,0.864954,1.249668,-0.001365,0.011162,0.004768,3015183.653871,0.000000,3123367.199325,3125613.409752,1244275.198298,3046376.959391
961,0.864959,1.208491,0.006438,0.013727,0.012083,3019697.560032,0.000000,3123367.199325,3125613.409752,1550275.714231,3046376.959391
962,0.864978,1.234816,-0.000902,0.006943,0.003309,3201848.300298,0.000000,3123367.199325,3125613.409752,-172619.250250,3046376.959391
963,0.864992,1.270490,-0.001478,0.010400,0.009638,3010876.101256,0.000000,3123367.199325,3125613.409752,-455670.963894,3046376.959391
964,0.864998,1.203214,-0.002447,0.007575,0.005027,3084162.113844,0.000000,3123367.199325,3125613.409752,-676222.117731,3046376.959391
965,0.865029,1.251417,-0.000209,0.011001,0.006792,3035932.591558,0.000000,3123367.199325,3125613.409752,-2874887.537102,3046376.959391
966,0.865047,1.194170,-0.000616,0.007486,0.005780,3124280.127200,0.000000,3123367.199325,3125613.409752,-419968.842035,3046376.959391
967,0.865052,1.197769,-0.002993,0.006949,0.003367,3106449.418838,0.000000,3123367.199325,3125613.409752,-537505.271280,3046376.959391
968,0.865073,1.260711,-0.003792,0.006869,-0.001882,3201202.359576,0.000000,3123367.199325,3125613.409752,-1277236.056548,3046376.959391
969,0.865084,1.201853,-0.005393,0.013853,0.008629,2673044.507166,0.000000,3123367.199325,3125613.409752,2101498.580515,3046376.959391
970,0.865084,1.231417,-0.000124,0.011335,0.010886,2959379.279322,0.000000,3123367.199325,3125613.409752,-1113632.922106,3046376.959391
971,0.865095,1.258054,-0.003197,0.009026,0.004771,3058151.307188,0.000000,3123367.199325,3125613.409752,1284599.609170,3046376.959391
972,0.865098,1.250342,0.003936,0.008367,0.009237,3234545.892441,0.000000,3123367.199325,3125613.409752,-973541.481868,3046376.959391
973,0.865102,1.179486,-0.001012,0.004296,0.003796,3246847.162083,0.000000,3123367.199325,3125613.409752,-2177879.911788,3046376.959391
974,0.865126,1.225997,-0.001268,0.007286,0.004311,3159182.677505,0.000000,3123367.199325,3125613.409752,-1451794.680255,3046376.959391
975,0.865127,1.269058,-0.005940,0.005311,0.008702,3099029.825120,0.000000,3123367.199325,3125613.409752,353322.094494,3046376.959391
976,0.865127,1.200238,0.001959,0.010750,0.006279,3066138.784330,0.000000,3123367.199325,3125613.409752,-659973.089799,3046376.959391
977,0.865139,1.221145,-0.006648,0.005499,0.006575,3047203.306312,0.000000,3123367.199325,3125613.409752,1738285.134089,3046376.959391
978,0.865144,1.235162,-0.003907,0.007544,0.005534,3068096.895806,0.000000,3123367.199325,3125613.409752,-185018.331354,3046376.959391
979,0.865157,1.172332,-0.002390,0.006560,0.005063,3097428.984897,0.000000,3123367.199325,3125613.409752,-1066880.244176,3046376.959391
980,0.865159,1.206893,0.001994,0.009684,0.006816,3111513.557742,0.000000,3123367.199325,3125613.409752,765326.973254,3046376.959391
981,0.865186,1.273647,-0.001315,0.005804,0.008435,3218281.848294,0.000000,3123367.199325,3125613.409752,-334483.389602,3046376.959391
982,0.865187,1.223159,0.003244,0.008665,0.005395,3217979.363949,0.000000,3123367.199325,3125613.409752,1113496.267677,3046376.959391
983,0.865191,1.273974,-0.001020,0.007696,0.006029,3176868.593141,0.000000,3123367.199325,3125613.409752,492579.651614,3046376.959391
984,0.865203,1.264445,-0.000490,0.005780,0.009172,3226252.767589,3125452.666895,3123367.199325,3125613.409752,1119205.132659,3046376.959391
985,0.865222,1.269104,-0.000075,0.007530,0.006416,3201581.474345,0.000000,3123367.199325,3125613.409752,853877.815096,3046376.959391
986,0.865227,1.207515,0.000043,0.007139,0.004495,3183081.139429,0.000000,3123367.199325,3125613.409752,102274.151694,3046376.959391
987,0.865228,1.258097,-0.003994,0.007016,0.005947,3104872.841159,0.000000,3123367.199325,3125613.409752,742767.482944,3046376.959391
988,0.865228,1.173711,0.000199,0.003618,0.005947,3279483.078874,0.000000,3123367.199325,3125613.409752,1847770.231024,3046376.959391
989,0.865230,1.224553,-0.000524,0.013544,0.009114,2864145.170470,0.000000,3123367.199325,3125613.409752,-957073.608565,3046376.959391
990,0.865259,1.206412,-0.004029,0.003508,0.002184,3234911.784594,0.000000,3123367.199325,3125613.409752,1601310.564627,3046376.959391
991,0.865283,1.249844,-0.001321,0.008079,0.006012,3130386.467935,0.000000,3123367.199325,3125613.409752,335392.283195,3046376.959391
992,0.865303,1.280118,0.000619,0.006737,0.006974,3256472.485807,0.000000,3123367.199325,3125613.409752,-2981755.811545,3046376.959391
993,0.865327,1.213897,-0.001914,0.008747,0.005466,3057132.593831,0.000000,3123367.199325,3125613.409752,-2621164.837133,3046376.959391
994,0.865333,1.300448,-0.000054,0.005797,0.004763,3314921.026472,0.000000,3123367.199325,3125613.409752,996546.294779,3046376.959391
995,0.865355,1.261245,0.001615,0.014139,0.009369,2939193.586896,0.000000,3123367.199325,3125613.409752,1665746.398465,3046376.959391
996,0.865360,1.260025,-0.000075,0.008547,0.006927,3147249.513868,0.000000,3123367.199325,3125613.409752,-1090226.932332,3046376.959391
997,0.865382,1.177022,0.001419,0.012169,0.010491,2920335.308167,0.000000,3123367.199325,3125613.409752,-1108508.801014,3046376.959391
998,0.865404,1.281006,0.001182,0.010152,0.006365,3144333.987674,0.000000,3123367.199325,3125613.409752,1089028.497742,3046376.959391
999,0.865472,1.209112,0.000411,0.008567,0.008735,3092892.561663,0.000000,3123367.199325,3125613.409752,1912385.522155,3046376.959391
1000,0.865478,1.275341,0.002343,0.010897,0.010177,3101817.999381,0.000000,3123367.199325,3125613.409752,769103.391966,3046376.959391
1001,0.865485,1.240641,-0.002507,0.004583,0.006630,3221139.522902,0.000000,3123367.199325,3125613.409752,-1716090.857734,3046376.959391
1002,0.865500,1.220998,-0.003516,0.009437,0.005959,2982022.851300,0.000000,3123367.199325,3125613.409752,-309366.566447,3046376.959391
1003,0.865508,1.252982,0.001941,0.003868,0.004391,3402853.435865,0.000000,3123367.199325,3125613.409752,-963890.641227,3046376.959391
1004,0.865510,1.265842,-0.006717,0.003189,0.004728,3200936.248113,0.000000,3123367.199325,3125613.409752,-715819.031569,3046376.959391
1005,0.865531,1.259907,0.000522,0.012796,0.010580,2948617.934493,0.000000,3123367.199325,3125613.409752,-1155823.238713,3046376.959391
1006,0.865542,1.208020,-0.004042,0.008160,0.005230,3015372.151322,0.000000,3123367.199325,3125613.409752,927289.604679,3046376.959391
1007,0.865561,1.263205,0.002881,0.006920,0.013636,3228684.420951,0.000000,3123367.199325,3125613.409752,1419868.708131,3046376.959391
1008,0.865571,1.153428,-0.000334,0.010704,0.007302,2941918.932186,0.000000,3123367.199325,3125613.409752,-1613860.296825,3046376.959391
1009,0.865586,1.203733,-0.001253,0.005589,0.006757,3181137.874689,0.000000,3123367.199325,3125613.409752,2481600.698199,3046376.959391
1010,0.865589,1.236748,-0.001318,0.008926,0.006070,3082900.164771,0.000000,3123367.199325,3125613.409752,1019186.523812,3046376.959391
1011,0.865603,1.187484,0.000188,0.011488,0.010591,2921459.261306,0.000000,3123367.199325,3125613.409752,-559551.967279,3046376.959391
1012,0.865606,1.201866,0.001112,0.009343,0.009177,3069775.366298,0.000000,3123367.199325,3125613.409752,-2583890.605914,3046376.959391
1013,0.865635,1.204755,-0.004668,0.005421,0.007584,3081941.493239,0.000000,3123367.199325,3125613.409752,-540603.389780,3046376.959391
1014,0.865638,1.235068,-0.002964,0.005437,0.008195,3152847.753616,0.000000,3123367.199325,3125613.409752,159224.951293,3046376.959391
1015,0.865645,1.221526,0.000419,0.010227,0.005780,3068644.195835,0.000000,3123367.199325,3125613.409752,2283161.656793,3046376.959391
1016,0.865654,1.175341,0.003966,0.007107,0.006930,3239634.599409,0.000000,3123367.199325,3125613.409752,-906523.979714,3046376.959391
1017,0.865659,1.238153,-0.000001,0.008058,0.002140,3198404.813505,0.000000,3123367.199325,3125613.409752,1451144.866563,3046376.959391
1018,0.865668,1.262613,-0.002053,0.008865,0.007140,3077318.405813,0.000000,3123367.199325,3125613.409752,2126188.634823,3046376.959391
1019,0.865689,1.203534,0.000834,0.010525,0.006947,3038365.492994,0.000000,3123367.199325,3125613.409752,787381.227810,3046376.959391
1020,0.865722,1.233530,-0.000235,0.009747,0.004577,3093766.279090,0.000000,3123367.199325,3125613.409752,214021.732786,3046376.959391
1021,0.865723,1.182557,-0.000747,0.009610,0.007447,3003527.640420,0.000000,3123367.199325,3125613.409752,1256765.391471,3046376.959391
1022,0.865723,1.218891,0.003938,0.008953,0.015091,3121035.340467,0.000000,3123367.199325,3125613.409752,-1134133.160139,3046376.959391
1023,0.865761,1.226037,-0.002770,0.005586,0.005149,3175865.502708,0.000000,3123367.199325,3125613.409752,-1906089.506302,3046376.959391
1024,0.865772,1.221326,-0.000101,0.005868,0.003288,3254331.630748,0.000000,3123367.199325,3125613.409752,1878176.280665,3046376.959391
1025,0.865787,1.203161,0.001058,0.005802,0.000764,3297788.149390,0.000000,3123367.199325,3125613.409752,-141946.550706,3046376.959391
1026,0.865806,1.179165,0.001088,0.007608,0.007230,3138939.161294,0.000000,3123367.199325,3125613.409752,-90616.597626,3046376.959391
1027,0.865822,1.204535,-0.000532,0.009993,0.006038,3030950.474046,0.000000,3123367.199325,3125613.409752,-979659.304523,3046376.959391
1028,0.865832,1.240469,0.000591,0.010300,0.012425,3016890.572686,0.000000,3123367.199325,3125613.409752,-1468439.196571,3046376.959391
1029,0.865858,1.233154,-0.003977,0.010462,0.006573,2929496.547345,0.000000,3123367.199325,3125613.409752,1540015.386935,3046376.959391
1030,0.865895,1.235944,0.000728,0.007109,0.003085,3244432.008050,0.000000,3123367.199325,3125613.409752,507104.404211,3046376.959391
1031,0.865906,1.261740,-0.001719,0.006168,0.008155,3184513.823376,0.000000,3123367.199325,3125613.409752,-443247.854824,3046376.959391
1032,0.865935,1.266989,0.000293,0.004326,0.009889,3299470.095320,0.000000,3123367.199325,3125613.409752,480294.643181,3046376.959391
1033,0.865940,1.267223,-0.002567,0.007339,0.006590,3134980.759114,0.000000,3123367.199325,3125613.409752,-117124.210908,3046376.959391
1034,0.865941,1.200804,-0.000996,0.011349,0.007481,2939760.890241,3125453.687107,3123367.199325,3125613.409752,408099.118653,3046376.959391
1035,0.865946,1.221697,-0.004211,0.010220,0.011150,2868839.866483,0.000000,3123367.199325,3125613.409752,-1458178.857099,3046376.959391
1036,0.865953,1.225527,0.001976,0.007287,0.006447,3228244.380463,0.000000,3123367.199325,3125613.409752,2042801.709623,3046376.959391
1037,0.865971,1.281785,-0.000293,0.009736,0.008340,3098554.657664,0.000000,3123367.199325,3125613.409752,-2486895.672887,3046376.959391
1038,0.865987,1.247528,-0.002610,0.007287,0.008513,3096657.196925,0.000000,3123367.199325,3125613.409752,517309.592915,3046376.959391
1039,0.865998,1.227540,-0.002392,0.007561,0.008454,3073193.661255,0.000000,3123367.199325,3125613.409752,134545.999387,3046376.959391
1040,0.866003,1.269464,-0.000330,0.008250,0.008473,3144679.454866,0.000000,3123367.199325,3125613.409752,554300.288749,3046376.959391
1041,0.866004,1.255638,-0.001491,0.012299,0.008912,2922859.242858,0.000000,3123367.199325,3125613.409752,93896.793965,3046376.959391
1042,0.866007,1.242713,-0.000095,0.005104,0.004985,3286366.697882,0.000000,3123367.199325,3125613.409752,877999.805336,3046376.959391
