#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
45,0.835476,1.232897,-0.001816,0.008296,0.009535,3046864.640556,0.000000,3123367.199325,3125613.409752,-490987.934736,3046376.959391
46,0.835536,1.251973,0.000407,0.009005,0.009313,3103566.639004,0.000000,3123367.199325,3125613.409752,32195.021915,3046376.959391
47,0.835593,1.277841,-0.004442,0.008525,0.007427,3026362.634941,0.000000,3123367.199325,3125613.409752,1047144.801775,3046376.959391
48,0.835708,1.212068,-0.001148,0.013627,0.002821,2893950.581986,0.000000,3123367.199325,3125613.409752,-1430439.129571,3046376.959391
49,0.835720,1.193236,0.004467,0.010272,0.011470,3090520.889456,0.000000,3123367.199325,3125613.409752,474824.682418,3046376.959391
50,0.835878,1.144630,0.002036,0.004825,0.011125,3198049.887953,0.000000,3123367.199325,3125613.409752,2224116.896478,3046376.959391
51,0.835920,1.187347,-0.001537,0.010107,0.005390,2979879.883850,0.000000,3123367.199325,3125613.409752,-1417041.937389,3046376.959391
52,0.836304,1.189498,-0.004239,0.006850,0.004871,3043923.767974,0.000000,3123367.199325,3125613.409752,2727689.958973,3046376.959391
53,0.836441,1.191624,-0.002481,0.005858,0.004622,3140459.791270,0.000000,3123367.199325,3125613.409752,-358330.547336,3046376.959391
54,0.836452,1.269011,0.001218,0.005571,0.013170,3239570.779315,0.000000,3123367.199325,3125613.409752,1104093.010183,3046376.959391
55,0.836503,1.261158,-0.001346,0.009769,0.005344,3072699.899228,0.000000,3123367.199325,3125613.409752,372912.017084,3046376.959391
56,0.836544,1.248912,-0.000606,0.011101,0.006827,3011117.979901,0.000000,3123367.199325,3125613.409752,-2055991.731219,3046376.959391
57,0.837039,1.181225,0.002072,0.007866,0.006308,3162508.565023,0.000000,3123367.199325,3125613.409752,1125663.820862,3046376.959391
58,0.837175,1.212145,-0.000041,0.007385,0.006804,3145407.655639,0.000000,3123367.199325,3125613.409752,-550121.747905,3046376.959391
59,0.837291,1.205202,0.002512,0.013571,0.004150,2986900.555966,0.000000,3123367.199325,3125613.409752,580892.547440,3046376.959391
60,0.837428,1.234389,0.003426,0.005508,0.012180,3281761.534279,0.000000,3123367.199325,3125613.409752,1521489.781892,3046376.959391
61,0.837630,1.247203,0.001551,0.011890,0.006678,3042454.003638,0.000000,3123367.199325,3125613.409752,738688.224642,3046376.959391
62,0.837646,1.244841,0.001205,0.013529,0.007883,2947128.755155,0.000000,3123367.199325,3125613.409752,-208964.544801,3046376.959391
63,0.837816,1.240228,0.001262,0.007017,0.004749,3244244.614811,0.000000,3123367.199325,3125613.409752,-1670175.665689,3046376.959391
64,0.837997,1.224592,0.002002,0.005463,0.007097,3286936.615098,0.000000,3123367.199325,3125613.409752,1073528.025561,3046376.959391
65,0.838132,1.257415,-0.002483,0.006726,0.005315,3160602.221198,0.000000,3123367.199325,3125613.409752,-1487648.962240,3046376.959391
66,0.838334,1.241932,0.002297,0.009725,0.003607,3179957.334834,0.000000,3123367.199325,3125613.409752,828371.327314,3046376.959391
67,0.838585,1.239352,-0.003525,0.009559,0.010810,2934860.814415,0.000000,3123367.199325,3125613.409752,907528.402366,3046376.959391
68,0.838596,1.194678,-0.004103,0.007941,0.004003,3017421.285445,0.000000,3123367.199325,3125613.409752,670304.099244,3046376.959391
69,0.838660,1.232234,0.000210,0.011305,0.010815,2966750.402075,0.000000,3123367.199325,3125613.409752,-2273650.595664,3046376.959391
70,0.838663,1.268408,0.001350,0.008670,0.005400,3201171.294758,0.000000,3123367.199325,3125613.409752,569753.234137,3046376.959391
71,0.838672,1.201945,0.000094,0.007282,0.007794,3133664.078463,0.000000,3123367.199325,3125613.409752,714508.970754,3046376.959391
72,0.838714,1.212739,-0.000756,0.003683,0.008087,3259303.435937,0.000000,3123367.199325,3125613.409752,-276303.827591,3046376.959391
73,0.838730,1.243708,-0.000614,0.007536,0.005870,3162788.756383,0.000000,3123367.199325,3125613.409752,-2087816.901586,3046376.959391
74,0.838918,1.249140,0.002496,0.007193,0.009725,3229156.073614,0.000000,3123367.199325,3125613.409752,1600442.046287,3046376.959391
75,0.839220,1.237437,0.000907,0.009709,0.006153,3109927.674062,0.000000,3123367.199325,3125613.409752,-993133.782352,3046376.959391
76,0.839225,1.241968,-0.001990,0.008820,0.006548,3062014.546157,0.000000,3123367.199325,3125613.409752,218831.002795,3046376.959391
77,0.839255,1.224391,-0.002676,0.010124,0.006474,2970273.929190,0.000000,3123367.199325,3125613.409752,3487615.803967,3046376.959391
78,0.839277,1.214820,-0.002419,0.009449,0.009491,2963631.639284,0.000000,3123367.199325,3125613.409752,-884766.097227,3046376.959391
79,0.839296,1.192453,-0.000454,0.012362,0.008719,2884070.077494,0.000000,3123367.199325,3125613.409752,384401.960550,3046376.959391
80,0.839392,1.229691,-0.000916,0.006438,0.008845,3153986.640764,0.000000,3123367.199325,3125613.409752,-408864.214140,3046376.959391
81,0.839414,1.239086,-0.000803,0.005252,0.010097,3200205.138131,0.000000,3123367.199325,3125613.409752,-27357.425947,3046376.959391
82,0.839432,1.204706,0.002281,0.003095,0.005233,3385426.009230,0.000000,3123367.199325,3125613.409752,1520411.126231,3046376.959391
83,0.839438,1.199380,-0.003473,0.003015,0.005539,3223829.495963,0.000000,3123367.199325,3125613.409752,1799269.720549,3046376.959391
84,0.839544,1.206243,-0.002733,0.009904,0.007608,2947112.240295,0.000000,3123367.199325,3125613.409752,-2218354.845531,3046376.959391
85,0.839631,1.207305,0.001396,0.013708,0.008174,2904284.933833,0.000000,3123367.199325,3125613.409752,1727563.930367,3046376.959391
86,0.839632,1.234948,0.000943,0.005912,0.009344,3227095.819078,0.000000,3123367.199325,3125613.409752,-316485.429578,3046376.959391
87,0.839707,1.276866,-0.000719,0.004435,0.004060,3329837.399961,0.000000,3123367.199325,3125613.409752,-1223758.833743,3046376.959391
88,0.839741,1.242347,-0.003717,0.005139,0.006218,3165708.972800,0.000000,3123367.199325,3125613.409752,-1331597.535021,3046376.959391
89,0.839782,1.194922,-0.000266,0.014888,0.011880,2741887.230666,0.000000,3123367.199325,3125613.409752,813332.014154,3046376.959391
90,0.839825,1.245775,-0.002271,0.008363,0.008743,3052675.347069,0.000000,3123367.199325,3125613.409752,245087.038990,3046376.959391
91,0.839872,1.277819,-0.001405,0.001550,0.006496,3396935.867558,0.000000,3123367.199325,3125613.409752,-473855.027452,3046376.959391
92,0.839872,1.246590,-0.001088,0.004251,0.004549,3294818.463383,0.000000,3123367.199325,3125613.409752,-3715327.632261,3046376.959391
93,0.839891,1.271548,-0.002303,0.004243,0.003871,3291199.016768,0.000000,3123367.199325,3125613.409752,-2568573.756719,3046376.959391
94,0.839953,1.190617,-0.000405,0.008082,0.007206,3082326.065967,0.000000,3123367.199325,3125613.409752,872530.676383,3046376.959391
95,0.840053,1.235338,-0.001054,0.005778,0.001950,3252799.024350,0.000000,3123367.199325,3125613.409752,940955.575468,3046376.959391
96,0.840251,1.172204,-0.001485,0.011002,0.004209,2942152.870575,0.000000,3123367.199325,3125613.409752,-488378.310416,3046376.959391
97,0.840355,1.222081,-0.001932,0.004531,0.008239,3200573.415693,0.000000,3123367.199325,3125613.409752,298394.618296,3046376.959391
98,0.840500,1.275099,-0.001165,0.005664,0.005823,3251116.549405,0.000000,3123367.199325,3125613.409752,-1505971.755210,3046376.959391
99,0.840515,1.194519,0.000827,0.012085,0.005647,2972537.322537,0.000000,3123367.199325,3125613.409752,1321505.621761,3046376.959391
100,0.840593,1.210266,-0.003189,0.009892,0.005463,2962038.111139,0.000000,3123367.199325,3125613.409752,1391663.369153,3046376.959391
101,0.840619,1.305205,-0.000341,0.007440,0.009536,3193981.431935,0.000000,3123367.199325,3125613.409752,-650886.829655,3046376.959391
102,0.840657,1.228410,0.002050,0.009707,0.009580,3098294.542771,0.000000,3123367.199325,3125613.409752,237083.714202,3046376.959391
